,datum,redeID,vorname,nachname,fraktion,name,inhalt_neu
0,,,,,, ,
1,09.09.2020,ID1917200100,Olaf,Scholz,SPD,Olaf Scholz,"herr präsident! schönen dank für ihre worte, die sie am eingang unserer beratung gefunden haben ich glaube, es geht um ein ganz wichtiges thema unserer demokratie , und dafür, dass sie noch einmal an die schrecklichen morde erinnert haben. das ist ein ganz, ganz wichtiger beitrag für das zusammenleben in unserer gesellschaft. wir müssen da gesellschaftlich zusammenhalten.ich finde, dass es auch richtig ist, noch einmal angesprochen zu haben: die kundgebung und diejenigen, die versucht haben, das reichstagsgebäude mit fahnen aus einer dunklen vergangenheit verächtlich zu machen, das war schlimm. auch das ist richtig zu sagen: wir können das nicht hinnehmen. die demokratie ist darauf angewiesen, dass das parlament als ort der diskussion und des streits untereinander friedlich funktioniert. mein eindruck ist und das gilt für die ganze regierung , dass die vielen entscheidungen, die wir getroffen haben, die die länder getroffen haben und die auch der deutsche bundestag mit vielen gesetzgebungsverfahren begleitet hat, zur bekämpfung der gesundheitlichen, wirtschaftlichen und sozialen herausforderungen, die mit der coronapandemie verbunden sind, auf breite zustimmung unter den bürgerinnen und bürgern treffen. deshalb ist es ja kein problem, dass darüber diskutiert wird, ob sie richtig oder falsch sind. aber es ist absolut richtig, auch darauf hinzuweisen, dass die allermeisten unverändert diese entscheidungen und die wege, die wir hier gegangen sind, unterstützen.wir sind noch mittendrin, auch wenn wir mittlerweile sehen können, dass die gesundheitliche situation sich besser entwickelt, als wir vor einiger zeit hoffen durften, und auch wenn wir sehen können, dass die wirtschaftliche belebung im angesicht der großen programme, die wir auf den weg gebracht haben, sichtbar wird. wir können hoffen, dass es uns mit allem zusammen gelingen wird, dass wir vielleicht ende nächsten jahres oder anfang übernächsten jahres wirtschaftlich das vorkrisenniveau wieder erreicht haben werden.das bedeutet aber, dass wir kontinuierlich an dem arbeiten müssen, was wir angefangen haben. aus diesem grunde ist es eine gute entscheidung, dass die regierungskoalition und damit auch die regierung sich vorgenommen hat, die maßnahmen zu verlängern, die bereits jetzt hilfreich sind und die auch dazu beitragen werden, dass wir die ganze krise miteinander meistern werden. ich will ausdrücklich die verlängerung verschiedener programme bis zum jahresende benennen, und ich will ausdrücklich die verlängerung der schutzregelungen zur kurzarbeit bis zum ende des nächsten jahres benennen. alles das hilft, damit wir arbeitsplätze erhalten können und diese krise auch wirtschaftlich meistern können. wir wissen, dass es dabei nicht bleiben kann. gerade jetzt haben wir die beschlüsse, die zu früherer zeit getroffen worden sind, weiter vorangetrieben. ich will an den öffentlichen gesundheitsdienst erinnern. der ist wichtig; er wird in den kreisen dieser republik verantwortet. dort überall sind diejenigen, die dafür zu sorgen haben, dass wir, wenn ein infektionsgeschehen sich ausweitet, auch darauf reagieren können. dass hier ein programm mit milliarden euro die unterstützung gewährleistet, die notwendig ist, damit der öffentliche gesundheitsdienst jetzt technisch und personell so ausgebaut werden kann, dass wir auf immer neue herausforderungen reagieren können, was die gesundheitlichen probleme betrifft, ist richtig. gut, dass wir diese entscheidung getroffen haben. um ihnen viel zeit für ihre fragen zu lassen, will ich im vorfeld nur noch auf ein thema zu sprechen kommen, das mir wichtig ist: wir alle sind tief betroffen von dem mordanschlag auf den russischen oppositionellen nawalny. das ist ein schlimmes verbrechen, und wir sind ganz sicher, dass es ein anschlag war, der mit einem giftstoff aus der nowitschok-gruppe verübt worden ist. das ist etwas, was wir nicht hinnehmen können. die freiheit der bürgerinnen und bürger ist ein universelles recht. überall müssen menschen ihre meinung äußern können und auch in opposition zur regierung stehen können, ohne dass ihr leben davon bedroht ist. ich bin sehr froh darüber, dass dadurch, dass herr nawalny nach deutschland gekommen ist und hier in der charité behandelt wird, wir alles dafür tun können, sein leben und seine gesundheit zu sichern. heute weiß noch niemand, wie sich das entwickeln wird. ich glaube, das muss bedrückt eingestanden werden. aber für uns ist auf alle fälle wichtig, dass wir diesen beitrag leisten. er ist gut für die gesundheit dieses russischen bürgers; aber er ist auch ein wichtiger beitrag, den wir zu leisten haben.für uns ergibt sich aber aus dem, was wir jetzt wissen, dass auch konsequenzen gezogen werden müssen. deshalb ist es richtig, dass wir die russische regierung dazu auffordern, zusammenzuarbeiten, aufzuklären und mitzuarbeiten bei der aufdeckung dieser tat, und da erwarten wir noch die notwendigen erklärungen und mitarbeiten, die dafür notwendig sind.es ist auch richtig, dass wir uns entschieden haben, dass wir zusammen mit unseren europäischen partnern auf diese reagieren wollen. wir wollen also mit ihnen die weiteren erkenntnisse beraten, die ergebnisse, die wir aus den untersuchungen gewinnen, aber auch die reaktionen, die wir von anderen bekommen, und dann die entsprechenden entscheidungen treffen. dies ist eine angelegenheit, die wir als europäerinnen und europäer zu bewegen haben, und da sollten wir als deutsche im rahmen der europäischen union unsere verantwortung sehen.schönen dank. die erste frage stellt der kollege albrecht glaser, afd."
2,09.09.2020,ID1917200200,Albrecht,Glaser,AfD,Albrecht Glaser,"sehr geehrter herr minister, die eu-kommission beabsichtigt, zum wiederaufbau europas was immer damit gemeint sein mag milliarden euro an schulden aufzunehmen; zum ersten mal in ihrer geschichte nimmt die eu schulden auf. einen großteil dieser eu-anleihen soll die eu-eigene ezb kaufen. die nächste generation soll bis diese schulden zurückzahlen.da sie diesen vorgang mit großer freude begleiten, haben sie in einem interview als beweis für die klugheit dieses vorganges den ersten finanzminister der usa, hamilton, zitiert. dieser habe die schulden der einzelstaaten auf der ebene der föderation übernommen, und dies sei sehr erfolgreich gewesen.ich frage sie daher: ist ihnen der fortgang dieser geschichte bekannt, die einige zeit später zum staatskonkurs von neun einzelstaaten der damaligen staatenwelt der usa geführt hat? ist ihnen ebenfalls bekannt, dass die usa aus diesem vorgang gelernt haben und jegliche haftung des gesamtstaates für die schulden der einzelstaaten ausgeschlossen haben herr kollege glaser, denken sie an die rote ampel. ja, sofort; zwei zeilen und ebenfalls die haftung aller einzelstaaten der usa untereinander, und dies bis auf den heutigen tag? könnten die eu und auch sie selber nicht vielleicht aus diesem stück wirtschafts- und finanzgeschichte etwas lernen?"
3,09.09.2020,ID1917200300,Olaf,Scholz,SPD,Olaf Scholz,"schönen dank für ihre frage. schönen dank für den hinweis auf das wirklich großartige programm zur wiederbelebung der europäischen wirtschaft, das european recovery program. ich glaube, das ist wirklich ein großer schritt, vor allem, weil es ja nicht nur darum geht, als europäische union gemeinsam schulden aufzunehmen, sondern auch darum, sich zu verpflichten, sie wieder zurückzuzahlen sie haben darauf hingewiesen , und darum, dass wir auch den weg der finanzierung mit regeln. denn das wird die politische aufgabe sein, die jetzt in diesem und vor allem im nächsten jahr ansteht. die kommission wird anfang nächsten jahres vorschläge über eigene einnahmen der europäischen union machen own resources und damit auch ein seriöses finanzierungskonzept sicherstellen. das ist das, worauf wir bestanden haben.aus unserer sicht ist es aber dann auch wichtig, zu verstehen, wie die dinge sich insgesamt weiterentwickeln werden. deshalb bin ich unverändert der meinung, dass wir etwas lernen können von dem ersten finanzminister der usa. denn wenn wir uns die vereinigten staaten von amerika heute anschauen, stellen wir fest, dass es sich um eine global erfolgreiche, wirtschaftlich starke nation handelt, die heute für diejenige gehalten wird, die wirtschaftlich am stärksten ist. es ist also nicht so schlecht, sich daran ein vorbild zu nehmen, was finanzpolitische beginne und entwicklungen der ganzen zeit betrifft.im übrigen ein satz noch als ergänzung : eine no-bailout-klausel gibt es in den europäischen verträgen, und daran ist ja gar nichts geändert worden. nachfrage, herr kollege glaser?"
4,09.09.2020,ID1917200400,Albrecht,Glaser,AfD,Albrecht Glaser,"wenn ich fragen darf: die heutige situation der usa mit allem respekt hat sicher wenig mit dem ereignis vor jahren zu tun. diese kausalität herzustellen könnte es nicht sein, dass das eine sehr kühne überlegung ist, herr finanzminister?"
5,09.09.2020,ID1917200500,Olaf,Scholz,SPD,Olaf Scholz,"nein, das ist eine sehr naheliegende überlegung. danke sehr. die nächste frage stellt der kollege artur auernhammer, cdu/csu. ist der kollege auernhammer nicht da? irgendjemand hat mir das aufgeschrieben.dann stellt die nächste frage der kollege florian toncar, fdp."
6,09.09.2020,ID1917200600,Florian,Toncar,FDP,Florian Toncar,"danke schön. herr präsident! herr minister scholz, die finanzbehörde in hamburg hat im jahr darauf verzichtet, von der warburg-bank millionen euro an aus kriminellen cum/ex-geschäften erlangten geldern zurückzufordern, und musste nur durch heftige intervention des bundesfinanzministeriums dazu gebracht werden, weitere millionen euro einzufordern, ohne dass verjährung eintrat.sie waren damals als erster bürgermeister der freien und hansestadt hamburg in der politischen gesamtverantwortung für das handeln der hamburger regierung und der hamburger behörden. wie erklären sie den kleinunternehmern, die jeden tag im finanzamt auch durchaus kleine dinge ausführlich erklären müssen, wie erklären sie einer arbeitnehmerin mit durchschnittseinkommen, , prozent grenzsteuersatz und prozent abgabenbelastung, dass es in hamburg möglich war, dass bis zu millionen euro von der warburg-bank nicht zurückgefordert worden sein könnten?"
7,09.09.2020,ID1917200700,Olaf,Scholz,SPD,Olaf Scholz,"schönen dank für ihre frage. zunächst mal finde ich als bundesminister der finanzen sehr richtig, was das bundesministerium der finanzen unternommen hat, und das ist etwas, auf das wir heute aufbauen können. im übrigen ist es so, dass ich fest davon überzeugt bin, dass wir alle aktivitäten unternehmen und unterstützen müssen, um die von anfang an mit dem gesetz nicht zu vereinbarenden und kriminellen cum/ex-geschäfte aufzuklären, das geld zurückzufordern und diejenigen anzuklagen, die solche straftaten verwirklicht haben.das geld ist zurückgefordert. es ist so, dass wir auch das weiter unterstützen mit gesetzgebung, die wir zur verlängerung von verjährungsfristen auf den weg gebracht haben. und das geschieht auch durch all die anderen dinge, die wir auf den weg bringen wollen. insofern bin ich sicher, dass wir es schaffen werden, überall in deutschland diejenigen zu kriegen, die mit cum/ex etwas verdient haben. die staatsanwaltschaften sind aktiv, und wir unterstützen mit all den behörden, die wir in deutschland haben, diese aktivitäten. herr kollege toncar."
8,09.09.2020,ID1917200800,Florian,Toncar,FDP,Florian Toncar,"herr minister scholz, sie waren damals ja regierungschef in hamburg und damit in einer politischen gesamtverantwortung. ich möchte wissen: wann haben sie erfahren, dass es in hamburg eine diskussion darüber gab, ob bei der warburg-bank steuern in der großen größenordnung von millionen euro erst millionen euro, dann millionen euro zurückgefordert werden sollten? was war ihre rolle in dieser diskussion? und was haben sie als regierungschef veranlasst, um in dieser ja auch für hamburg wichtigen frage zu den richtigen ergebnissen, nämlich einer rückforderung, zu kommen? haben sie irgendetwas veranlasst, um den steuerzahler vor einem drohenden doch ganz erheblichen finanziellen schaden zu bewahren? was war da ihre rolle, herr minister?"
9,09.09.2020,ID1917200900,Olaf,Scholz,SPD,Olaf Scholz,"wie überall in deutschland entscheiden die finanzämter auch in hamburg eigenständig über die angelegenheiten, die mit den steuerfällen zu tun haben. sie tun das nach recht und gesetz und eigenen überzeugungen, und eine politische intervention soll es nicht geben und hat es in hamburg auch nicht gegeben. ich habe jetzt als nächste fragesteller gemeldet: herrn schneider, herrn de masi und frau paus. deswegen möchte ich jetzt keine nachfrage zulassen, sondern zunächst herrn schneider die nächste frage geben, nachdem die cdu/csu liebenswürdigerweise in dieser runde auf ihre frage verzichtet hat. ja, so ist das."
10,09.09.2020,ID1917201000,Carsten,Schneider,SPD,Carsten Schneider,"vielen dank. herr bundesfinanzminister, ich habe eine frage zum lobbyregister. sie wissen, dass in dieser woche in erster lesung ein gesetzentwurf für ein lobbyregister hier in den bundestag eingebracht wird. der gilt nur für den bundestag und die abgeordneten. es geht uns darum, die transparenz herzustellen, die der herr bundestagspräsident eben auch mit ausgeführt hat, transparenz über einflussnahme auf gesetzgebung, und letztendlich auch darum und das ist keine wertung , das ganze öffentlich und nachvollziehbar zu machen. meine entscheidende frage an sie als mitglied der bundesregierung ist, ob sie diese maßnahmen, die wir uns letztendlich für den bundestag als gesetzgeber geben, auch für die bundesregierung mit anstreben und auch umsetzen werden?"
11,09.09.2020,ID1917201100,Olaf,Scholz,SPD,Olaf Scholz,"für die bundesregierung kann ich an dieser stelle nicht antworten, für mich selber schon. ich persönlich glaube, dass das, was wir im bereich der regelung zum lobbyregister für abgeordnete vornehmen, selbstverständlich in entsprechender form für regierungen auch gelten soll. die nächste frage stellt der kollege de masi, die linke."
12,09.09.2020,ID1917201200,Fabio,De Masi,DIE LINKE,Fabio De Masi,"vielen dank, herr präsident. herr finanzminister, sie haben ausgeführt, dass cum/ex-geschäfte kriminell waren und sind, und sie haben sie auch als schweinerei bezeichnet. fänden sie es vor diesem hintergrund nicht sinnvoll, dass die spd hamburg, die ja in person von herrn kahrs so eifrig parteispenden von der warburg-bank eingetrieben hat, dieses geld zurückzahlt? und finden sie es plausibel, dass sich eine finanzbeamtin der stadt hamburg über mehrere wochen einer weisung des finanzministeriums damals unter wolfgang schäuble widersetzt, das geld von der warburg-bank, das geraubte cum/ex-geld, einzutreiben, und der stadt damit einen millionenfachen verlust beschert, dass diese finanzbeamtin eine solche entscheidung trifft, ohne sich politischer rückendeckung zu versichern? und wenn das so war: müsste diese finanzbeamtin nicht eigentlich ihren job verlieren?"
13,09.09.2020,ID1917201300,Olaf,Scholz,SPD,Olaf Scholz,"schönen dank für ihre frage. zunächst mal ist es wichtig, dass bei politischen spenden, die geleistet werden ob nun an parteien oder wen auch immer , immer gewährleistet ist, dass es keine einflussnahme gibt. deshalb ist es wichtig, dass überall ganz harte regelungen getroffen werden, die das auch sicherstellen. dazu zählt zum beispiel auch, dass verantwortliche in der regierung davon keine kenntnis haben sollten und an diesen entscheidungen nicht beteiligt sein sollten. nach meinem wissen ist das in hamburg immer der fall gewesen und bis heute der fall. auf dieser basis möchte ich auch die entscheidung, die die hamburger spd zu treffen hat, nicht beeinflussen, zumal ich, wie sie wissen, jetzt in potsdam lebe.die zweite bemerkung zu ihrer frage: ich bin dafür, dass entscheidungen von finanzämtern nach recht und gesetz, in eigener verantwortung und ohne politische beeinflussung getroffen werden. nachfrage, herr de masi?"
14,09.09.2020,ID1917201400,Fabio,De Masi,DIE LINKE,Fabio De Masi,"ja, sehr gerne. vielen dank, herr präsident. ich möchte sie erstens fragen, herr scholz, ob sie kenntnis darüber haben, dass es weiterhin cum/ex-ähnliche gestaltung in deutschland gibt zu dieser auffassung gelangt einer der führenden cum/ex-experten, professor spengel, sachverständiger in einer anhörung des bundestages heute , und ob die nach genutzten modelle, wegen derer mitte august unter anderem die varengold bank und die privatbank hauck & aufhäuser durchsucht wurden, sogenannte cum/fake-modelle sind oder es sich dabei um unbekannte arten von steuergetriebenen aktiengeschäften handelt.zweitens möchte ich gerne wissen, warum sie herrn olearius aufgefordert haben, ein schreiben an das finanzamt hamburg, an den finanzsenator, weiterzugeben, und nicht gesagt haben: ich bin nicht die post; schicken sie das an das finanzamt."
