,datum,redeID,vorname,nachname,fraktion,name,inhalt_neu
0,,,,,, ,
1,30.01.2019,ID197600100,Anja,Karliczek,CDU/CSU,Anja Karliczek,"sehr geehrter herr bundestagspräsident! liebe kolleginnen und kollegen! meine sehr geehrten damen und herren! bildung brauchen wir wie die luft zum atmen. nur mit ihr können wir unsere persönlichkeit entwickeln. nur mit ihr können unsere jungen menschen karriere machen, haben wir fachkräfte in unserem land, gibt es wohlstand in unserem land. nur mit bildung haben wir auch die chance, uns im weltweiten wettbewerb zu behaupten. ich glaube, wir können sagen: jeder hat ein recht auf bildung. wir nennen das chancengerechtigkeit. chancengerechtigkeit ist der eine punkt. ein zweiter punkt ist, dass wir einen schwerpunkt zur unterstützung der mitte unserer gesellschaft setzen wollen. darum reformieren wir das bafög. darum investieren wir in menschen, die lernen wollen. so haben wir es heute morgen im kabinett beschlossen. wir brauchen gut ausgebildete menschen. diese wollen wir mit der bafög-novelle fördern. wir wollen gerade die familien unterstützen, die diese gesellschaft tragen, nämlich die arbeitenden eltern mit kindern in ausbildung. mit der reform des bafögs konzentrieren wir uns auf die wichtigsten aspekte. wir erhöhen den förderhöchstsatz von heute euro auf euro im jahre . das ist ein plus von prozent. weil die wohnkosten an vielen orten so stark gestiegen sind, erhöhen wir auch den wohnzuschlag für alle bafög-geförderten, die nicht bei den eltern wohnen, von euro auf euro. drittens erhöhen wir die einkommensfreibeträge bis ebenfalls um fast prozent. damit wird die zahl der bafög-geförderten wieder deutlich steigen. besonders familien, die bisher knapp über der einkommensgrenze liegen, werden in zukunft vom bafög profitieren. es soll aber damit nicht genug sein. wichtig ist uns auch: niemand soll sorge haben müssen, sich zu sehr zu verschulden. niemand soll deswegen von einem studium abgehalten werden. deswegen haben wir beschlossen, dass jeder absolvent maximal monatliche raten à euro zahlen soll. wer dann trotz redlichen bemühens seine bafög-schulden nicht tilgen kann, dem werden sie nach jahren erlassen. nicht zuletzt wollen wir, dass künftig junge leute ihren bafög-antrag vermehrt online stellen. wir wollen die chancen der digitalisierung entschieden nutzen. rechtlich ist das jetzt schon möglich. mit den ländern arbeiten wir jetzt gerade daran, auch die praktischen hürden zu überwinden. meine damen und herren, mit dieser bafög-reform stärken wir die mitte der gesellschaft. wir stärken familien mit kindern in ausbildung. wir halten unser versprechen, das wir im koalitionsvertrag gegeben haben. darum investieren wir in dieser legislaturperiode zusätzlich mehr als , milliarden euro für das bafög. so schaffen wir die versprochene trendumkehr. so soll jeder junge mensch seine talente entfalten können. für gute rahmenbedingungen leisten wir mit unserer bafög-reform einen entscheidenden beitrag. gute rahmenbedingungen für gute bildung: einen schritt dahin haben wir heute mit der bafög-reform gemacht. herzlichen dank. danke sehr, frau bundesminister. die erste frage hat der kollege dr. götz frömming, afd."
2,30.01.2019,ID197600200,Götz,Frömming,AfD,Götz Frömming,"vielen dank. sehr geehrte frau karliczek, es ist als opposition immer billig und einfach, mehr von dem guten zu fordern; für bildung sind wir alle. die forderung nach einer erhöhung werden sie nachher wahrscheinlich von den kollegen noch zu hören bekommen. uns geht es eher um die inhaltliche gestaltung. die erste frage lautet: warum haben sie nicht die gelegenheit genutzt, den leistungsgedanken noch mehr herauszuarbeiten? ich meine hier nicht die leistungen des staates, sondern die der studenten, die also durch bestimmte leistungen im studium vielleicht einen teil der schuld erlassen bekommen könnten. die zweite frage schließt an die kritik des deutschen studentenwerkes an. es hat in einer ersten stellungnahme geäußert, dass vor allen dingen der fehlende wohnraum ein problem sei. frage dazu: haben sie mit herrn seehofer schon kontakt aufgenommen, um vielleicht eine wohnbauinitiative von bund und ländern zu starten, ähnlich wie für die flüchtlinge? wenn es für sie möglich war, warum nicht auch für die studenten? vielen dank. frau bundesminister."
3,30.01.2019,ID197600300,Anja,Karliczek,CDU/CSU,Anja Karliczek,"lieber herr frömming, ich will mit ihrem zweiten punkt anfangen. ich habe das thema studentischer wohnraum, weil es auch im koalitionsvertrag steht, mit dem kollegen seehofer sehr intensiv erörtert. wir sind uns darin einig, dass wir über die grundgesetzänderung zur unterstützung des sozialen wohnungsbaus, die jetzt im raum steht, auch die förderung studentischen wohnraumes ansetzen, die primär ländersache ist. ich bin gerade dabei, mich mit den ländern darüber zu verständigen, indem wir noch einmal darauf hinweisen, dass diese förderung gerade in den städten einen entscheidenden beitrag zur entlastung der wohnungsmärkte leisten kann. ihr erster punkt: leistung von studenten. ich glaube, wenn sich jemand aufmacht, sich in einem erststudium zu qualifizieren, dann ist das generell schon eine leistung, die sehr anerkennenswert ist. beim bafög geht es ja darum, diese menschen finanziell zu unterstützen. bei der rückzahlung wollen wir denen, die den staat unterstützen, indem sie das geld schnell zurückzahlen, einen teil der schulden erlassen. danke sehr. die nächste frage stellt dr. karamba diaby, spd."
4,30.01.2019,ID197600400,Karamba,Diaby,SPD,Karamba Diaby,"frau ministerin, in meinen gesprächen mit dem deutschen studentenwerk wurde immer das thema bürokratie angesprochen. ich möchte sie fragen: welche pläne haben sie, das antragsverfahren für das bafög zu vereinfachen? sie haben das kurz erwähnt. gehen sie bitte in ihrer antwort insbesondere auf das elektronische antragsverfahren ein. derzeit werden diese verfahren ja sehr unzureichend angenommen. die studentenwerke deuten an, dass da eine änderung notwendig ist. deshalb möchte ich gerne die pläne hören, die sie in diesem zusammenhang haben."
5,30.01.2019,ID197600500,Anja,Karliczek,CDU/CSU,Anja Karliczek,"die notwendigkeit sehen wir auch. es sind heute schon online-bafög-anträge möglich, was aber sehr wenig genutzt wird, weil dies derzeit noch sehr komplex und sehr kompliziert ist. wir haben das onlinezugangsgesetz auf den weg gebracht und wollen damit alle leistungen, die der staat auf verschiedenen ebenen zur verfügung stellt, online möglich machen. die onlinebeantragung beim bafög gehört dazu. deswegen haben wir jetzt, weil das über die länder orchestriert wird, eine arbeitsgruppe eingesetzt, um unter vorsitz des landes sachsen-anhalt einen prototypen zu entwickeln und die beantragung über das onlinezugangsgesetz zur verfügung stellen zu können. danke sehr. dr. jens brandenburg, fdp, ist der nächste fragesteller."
6,30.01.2019,ID197600600,Jens,Brandenburg,FDP,Jens Brandenburg,"frau ministerin, studierende sind ja eigenständige erwachsene und nicht einfach anhängsel einer elterlichen bedarfsgemeinschaft. wir sehen, dass vor allen dingen diejenigen momentan ein großes finanzierungsproblem im studium haben, deren eltern für die bafög-vollförderung zu viel verdienen oder deren eltern zu wenig verdienen, um den lebensunterhalt ihrer kinder aus eigener tasche zu finanzieren. wann kommt denn endlich ein elternunabhängiges bafög, das allen jungen menschen die möglichkeit zum studium gibt?"
7,30.01.2019,ID197600700,Anja,Karliczek,CDU/CSU,Anja Karliczek,"das elternunabhängige bafög wäre wie ein bedingungsloses grundeinkommen. genau das lehnen wir ab. wir wollen, dass weiterhin die primäre zuständigkeit der familie erhalten bleibt. alles andere würde unser unterhaltsrecht komplett auf den prüfstand stellen. wir müssten im grunde die ganze struktur, nach der unser sozialsystem angelegt ist, komplett umkrempeln, wenn wir solche veränderungen vornehmen würden. wir bleiben dabei, dass die zuständigkeit für eine erstausbildung und die unterstützung der kinder zunächst einmal bei den eltern liegt, wenn sie ausreichend leistungsfähig sind. denn nur so können wir sicherstellen, dass mit dem steuergeld sparsam umgegangen wird. dr. dietlind tiemann, cdu/csu, stellt die nächste frage."
8,30.01.2019,ID197600800,Dietlind,Tiemann,CDU/CSU,Dietlind Tiemann,"frau ministerin, sie haben gesagt ich unterstütze das nachhaltig , dass studierende an privaten berufsakademien ebenfalls gefördert werden sollen. welche haben sie da im auge, und warum sind sie der auffassung, dass das gesetzlich zu regeln ist?"
9,30.01.2019,ID197600900,Anja,Karliczek,CDU/CSU,Anja Karliczek,"die privaten berufsakademien haben sich in den letzten jahren entwickelt und bieten abschlüsse analog zum bachelor an. für uns sind das sehr wichtige studiengänge; denn es handelt sich häufig um soziale oder technisch-duale studiengänge. vor dem hintergrund, dass sie bisher nicht förderfähig waren, weil es private einrichtungen sind, haben wir uns aufgrund der gleichwertigkeit der abschlüsse entschieden, die studierenden an berufsakademien mit zu unterstützen. nicole gohlke, die linke, stellt die nächste frage."
