,datum,redeID,vorname,nachname,fraktion,name,inhalt_neu
0,,,,,, ,
1,03.03.2021,ID1921400100,Andreas,Scheuer,CDU/CSU,Andreas Scheuer,"gern. herr präsident! verehrte kolleginnen und kollegen! dynamik und aufbruch das ist im bereich mobilität und digitalisierung unser täglicher auftrag im bmvi. ich möchte mich für die gute umsetzung von gesetzen sehr herzlich bedanken. das jüngste beispiel hierfür ist die novelle des personenbeförderungsgesetzes, die heute durch den verkehrsausschuss gegangen ist. damit schaffen wir eine eigene rechtsgrundlage für neue digitale mobilitätsangebote. ich bedanke mich bei allen kolleginnen und kollegen der koalition, auch ganz besonders bei den kolleginnen und kollegen der grünenfraktion, die diesen vorschlag unterstützt haben. damit können wir menschen im ländlichen raum eine bessere mobilität ermöglichen, und zugleich entlasten wir die städte von verkehr. ich freue mich, dass der gesetzentwurf heute mit den änderungen im ausschuss gemeinsam beschlossen wurde. ich hoffe darauf, dass im bundestag und dann am freitag im bundesrat die notwendigen mehrheiten sichergestellt sind. auch beim thema elektromobilität kommen wir voran. mitte februar hat das bundeskabinett unseren entwurf für ein schnellladegesetz beschlossen. wenn e-mobilität attraktiv sein soll, muss die nächste schnellladesäule in wenigen minuten erreichbar sein. um diesem ziel näher zu kommen, wollen wir bundesweit schnelladehubs bis aufbauen. dazu gibt es heute auch die erfreuliche meldung aus der wirtschaft, dass diese ausbauaktivitäten für die ladeinfrastruktur fahrt aufnehmen. ganz besonders freut es mich, dass unsere kfw-förderung für die privaten wallboxen einmalig gut angenommen wird. wallboxen sind in gerade mal drei monaten beantragt worden. wir gehen noch weiter: das bundesfinanzministerium hat mit uns zusammen die möglichkeit geschaffen, dieses förderprogramm noch mal auszuweiten, um somit auch in den nächsten wochen die möglichkeit zu schaffen, diese initiative auszubauen. wir werden in den nächsten wochen für nächste förderprogramme eine gute botschaft geben können. seien sie gespannt! das nächste ist das gesetz zum autonomen fahren. bitte machen sie mit für eine schnelle einigung; denn damit können wir deutschland zur nummer eins beim autonomen fahren machen und einen rechtsrahmen für einen regelbetrieb schaffen. ein großer schwerpunkt meines hauses ist das system schiene. wir haben jetzt gerade ein großes programm bahnhofskonzeptplus aufgelegt. mit dieser offensive für attraktivere bahnhöfe können wir mit insgesamt milliarden euro rund bahnhöfe verbessern. davon profitieren die einzelnen regionen, nicht nur die städtischen regionen, sondern auch die ländlichen regionen. heute haben wir das programm elektrifizierungplus für die schiene gestartet eine wichtige botschaft. so können wir auch die vorgaben des koalitionsvertrags erfüllen, nämlich prozent des schienennetzes mit oberleitungen ausrüsten. wir haben natürlich nicht nur die oberleitungen im blick weniger dieselloks bedeuten weniger schadstoffe und weniger lärm , sondern auch die verbesserung von gleisanschlüssen. hierzu gibt es eine neue förderrichtlinie. vor allem fördern wir auch alternative antriebe beim system schiene. anhand dieser beispiele das nur als kleine einführung sehen sie, dass wir intensiv an der mobilität der zukunft arbeiten, und zwar mit den schwerpunkten der digitalisierung und des klimaschutzes. dabei sind wir auf einem sehr guten weg. ich danke für die aufmerksamkeit. dr. dirk spaniel, afd, stellt die erste frage."
2,03.03.2021,ID1921400200,Dirk,Spaniel,AfD,Dirk Spaniel,"vielen dank, herr präsident. herr bundesminister, die bundesregierung hat ja nun mit großer öffentlicher und medialer aufmerksamkeit eine wasserstoffstrategie vorgestellt. sie möchten wasserstoff als eine lösung, als eine alternative zu verbrennungsmotoren aufbauen, auch als eine alternative zur elektromobilität. wir haben ja nun gelernt, dass infrastrukturprojekte in unserem land gerne etwas länger dauern können. das heißt, man muss rechtzeitig anfangen. ich würde sie jetzt mal fragen: für wie realistisch halten sie denn das vorhaben, die notwendige wasserstoffinfrastruktur, das heißt leitungen und speichersysteme, bis zum jahr aufzubauen? werden wir für das ausstiegsszenario, das sie für den verbrennungsmotor anstreben, eine entsprechende wasserstoffinfrastruktur zur verfügung haben?"
3,03.03.2021,ID1921400300,Andreas,Scheuer,CDU/CSU,Andreas Scheuer,"herr kollege, ihre frage beantworte ich sehr gerne. wir bleiben technologieoffen. wir haben verkehrsträgerübergreifend nicht nur das auto im blick bei der wasserstoffstrategie, sondern auch die züge. ich habe ja gerade dieses programm für die alternativen antriebe bei der bahn vorgestellt. wir haben milliarden euro für die wasserstoffstrategie, davon ein großer teil für das verkehrsministerium, für die mobilität. sie wissen aus ihrer beruflichen tätigkeit, dass zum beispiel auch ein großer deutscher hersteller in die wasserstofftechnologie beim lkw geht. wir sind europaweit nummer eins bei der tankstelleninfrastruktur in bezug auf wasserstoff. wir setzen technologieoffen nicht erst jetzt um, sondern seit haben wir die nationale organisation wasserstoff- und brennstoffzellentechnologie, die sich damit beschäftigt. also: technologieoffen bleiben. ich habe große hoffnungen, dass wir gerade bei den bussen und bei den lkws die wasserstofftechnologie zusammen mit den zügen umsetzen können. wir brauchen die produkte dazu. aber wir stellen den rahmen dafür zur verfügung. ich bin sehr, sehr optimistisch, dass wir jetzt noch mal einen ordentlichen schub für diese wasserstoffstrategie bekommen, die so wichtig ist, um nicht nur die reine elektromobilität, sondern auch die wasserstofftechnologie in deutschland umzusetzen. danke sehr. herr kollege, nachfrage."
4,03.03.2021,ID1921400400,Dirk,Spaniel,AfD,Dirk Spaniel,"ja, vielen dank. das ist ja interessant, dass sie viele milliarden dafür ausgegeben haben. umso erstaunlicher ist es für mich, dass in dem strategiepapier der bundesregierung das wort wasserstoffspeicher oder ein synonym dafür überhaupt gar nicht vorkommt. das finde ich doch sehr befremdlich. deshalb frage ich noch mal konkret nach: mit welcher technologie wollen wir den wasserstoff für unsere wasserstoffstrategie speichern, und wann bekommen wir diese speicher?"
5,03.03.2021,ID1921400500,Andreas,Scheuer,CDU/CSU,Andreas Scheuer,"herr kollege, wir haben zusammen mit dem wirtschaftsministerium und dem umweltministerium einen sehr engen austausch darüber, dass wir ganzheitlich im bereich energie das ist der teil vom wirtschaftsministerium , aber vor allem auch im bereich mobilität zusammenarbeiten. ich war beispielsweise unlängst in schleswig-holstein, um nicht nur die energiegewinnung mittels einer windanlage für das anliegende dorf zu erreichen, sondern natürlich auch die tankstelleninfrastruktur. dort werden busse bestellt, die mit wasserstofftechnologie fahren. es gibt in diesem bereich noch wenige produkte made in germany; das stimmt mich etwas negativ. aber durch unsere wasserstoffstrategie können wir, auch bei der speichertechnologie, made in germany jetzt richtig anschieben. ich bin sehr optimistisch, dass jetzt der durchbruch gelingt. wie gesagt: nicht nur seit gestern, sondern schon über zehn jahre gehen wir im bereich mobilität in die wasserstofftechnologie. der speicher ist bei unserer strategie, was das bmvi betrifft, drin, um das wiederum für die mobilität zu nutzen. danke. dr. rainer kraft stellt eine nachfrage."
6,03.03.2021,ID1921400600,Rainer,Kraft,AfD,Rainer Kraft,"vielen dank, herr präsident. herr minister, ich möchte gleich anknüpfen an die wasserstoffinfrastruktur. im gasförmigen zustand hat wasserstoff nur eine energiedichte, die ungefähr einem drittel von der entspricht, die erdgas hat. im flüssigen zustand und zwar ganz egal, ob es kryogenisch gekühlt ist oder ob es an einen flüssigen organischen träger gebunden ist entspricht die dichte nur ungefähr einem viertel von dem, was diesel oder vergleichbare mineralische kraftstoffe haben. wie schaut denn die logistische verteilung von wasserstoff aus, wenn sie bei pipelineverteilung dreimal so viele pipelines wie bei erdgas legen müssten oder wenn bei verfrachtung per tanklaster viermal so viele tanklaster durch die republik fahren müssten im vergleich zum einsatz von mineralölen? wie schaut diese logistik in ihrer wasserstoffwelt aus?"
7,03.03.2021,ID1921400700,Andreas,Scheuer,CDU/CSU,Andreas Scheuer,"herr kollege, deswegen gehen wir ja technologieoffen ran. wir, das bmvi, haben beim gas ja auch dafür gesorgt, dass diese technologie weiterhin anreize hat. sie kennen auch unsere initiativen zu den synthetischen kraftstoffen im hinblick auf verbrenner. ich will noch mal unterstreichen: die technologieoffenheit ist für uns das mittel, um alle türen offenzuhalten in der mobilitätsstrategie. vielleicht ist das in der bundesregierung nicht in allen häusern so, sondern manche häuser setzen andere schwerpunkte, nämlich auf eine ein-antrieb-strategie. das sehen wir im bmvi anders. wir wollen technologieoffenheit deswegen haben, weil jetzt die produkte entwickelt werden. für die logistik da haben sie recht werden wir noch einige möglichkeiten der importe schaffen müssen nicht nur, was die pipelines betrifft, sondern wir sind beispielsweise auch im gespräch über die schiffslogistik. wenn ich aber jede innovation, kollege kraft, schon am beginn einer diskussion totmache, dann werden wir den durchbruch nie schaffen. ich vergleiche das immer mit dem verbrennungsmotor der - und -jahre; der hat auch ganz andere verbräuche gehabt, als er heute hat. deswegen denke ich, dass wir alle möglichkeiten offenhalten müssen, auch bei der logistik für den wasserstoff. mathias stein, spd, stellt die nächste frage."
8,03.03.2021,ID1921400800,Mathias,Stein,SPD,Mathias Stein,"herr minister, sie haben ja eben auch von den großen infrastrukturprojekten gesprochen, die sie voranbringen wollen. wir haben vor knapp einem jahr hier im deutschen bundestag das maßnahmengesetzvorbereitungsgesetz verabschiedet. sie wollten damit einen turbo einlegen; sie haben damals gesagt: stemmen satt hemmen. die frage nach etwas über einem jahr ist: was haben sie erreicht? in welchen konkreten projekten wären sie an dieser stelle schneller gewesen? was plant da das bundesverkehrsministerium?"
9,03.03.2021,ID1921400900,Andreas,Scheuer,CDU/CSU,Andreas Scheuer,"ich bin dankbar für die frage, da sie mir gelegenheit gibt, noch mal zu unterstreichen, dass wir in dieser wahlperiode gemeinsam, herr kollege stein, vier beschleunigungsgesetze in bezug auf planungen und genehmigungen auf den weg gebracht haben. wie sie richtig ausführen, arbeiten wir daran, das konkrete maßnahmengesetz zu finalisieren. wir haben einige strecken im blick. jetzt muss natürlich das thema planungs- und genehmigungsbeschleunigung in konkrete maßnahmen umgesetzt werden. da haben wir einige projekte stärker im fokus. ich kann ihnen die liste gerne übermitteln, die wir an dieser stelle diskutieren. aber die vier planungs- und genehmigungsbeschleunigungsgesetze waren die voraussetzung für die konkreten maßnahmen. da sind wir gerade in der finalisierung dieses gesetzes. nachfrage, herr stein?"
